sira,uc_adi,eslesen_uc_adi_db,stock_code,tarih_saat,tezgah,kisi,is_emri,siparis_no,work_order_id,status,ct_match_type
27,CCGT 120404 ALU AK10 ARNO,CCGT 120404  ALU AK10 ARNO,CC1204020302,,,,,,,found_no_wear,exact_name
28,CCGT 060201 GF PE1025,,,,,,,,,not_found_in_cuttingtools,
29,CCGT 09T304,,,,,,,,,not_found_in_cuttingtools,
30,CNGA 120408 HS BNC300 SUMITOMO,CNGA 120408 HS BNC300 SUMITOMO,CC1208161919,,,,,,,found_no_wear,exact_name
31,DCGT 070204 FN-ALU AK10 ARNO,DCGT 070204 FN-ALU AK10 ARNO,DC0704020203,,,,,,,found_no_wear,exact_name
32,DCMT 070202 HQ CA5525 KYOCERA,DCMT 070202 HQ CA5525 KYOCERA,DC0702090102,,,,,,,found_no_wear,exact_name
33,DCMT 070202 SM IC907 ISCAR,DCMT 070202 SM IC907 ISCAR,DC0702061118,,,,,,,found_no_wear,exact_name
34,DCMT 070204 F1 TP1501 SECO,DCMT 070204 F1  TP1501 SECO,DC0704130107,,,,,,,found_no_wear,exact_name
35,DCMT 070204 HQ CA5525 KYOCERA,DCMT 070204 HQ CA5525 KYOCERA,DC0704090102,,,,,,,found_no_wear,exact_name
36,DCMT 070204 SM IC907 ISCAR,DCMT 070204 SM IC907 ISCAR,DC0704061118,,,,,,,found_no_wear,exact_name
37,DCMT 070208 HQ CA5525 KYOCERA,DCMT 070208 HQ CA5525 KYOCERA,DC0708090102,,,,,,,found_no_wear,exact_name
38,DCMT 11T302 FA CT3000 TAEGUTEC 04 DENEME,,,,,,,,,not_found_in_cuttingtools,
39,DCGT 11T304 FN-ALU AK10 ARNO,DCGT 11T304 FN-ALU AK10 ARNO,DC1104020502,,,,,,,found_no_wear,exact_name
40,DCGT 11T308 FN-ALU AK10 ARNO,DCGT 11T308 FN-ALU AK10 ARNO,DC1108020502,,,,,,,found_no_wear,exact_name
41,DCGW 11T304 BNC300 SUMITOMO,DCGW 11T304  BNC300 SUMITOMO,DC1104162019,,,,,,,found_no_wear,exact_name
42,DCGW 11T308 HSNC2 BNC200 SUMITOMO,DCGW 11T308 HSNC2 BNC200 SUMITOMO,DC1108161919,,,,,,,found_no_wear,exact_name
43,DCMT 11T302 HQ CA5525 KYOCERA,DCMT 11T302 HQ CA5525 KYOCERA,DC1102090102,,,,,,,found_no_wear,exact_name
44,DCMT 11T302 HQ TN60 KYOCERA,DCMT 11T302 HQ TN60 KYOCERA,DC1102090103,,,,,,,found_no_wear,exact_name
45,DCMT 11T302 SM IC907 ISCAR,DCMT 11T302 SM IC907 ISCAR,DC1102061118,,,,,,,found_no_wear,exact_name
46,DCMT 11T304 FG CT3000 TEAGUTEC DENEME,,,,,,,,,not_found_in_cuttingtools,
47,DCMT 11T304 HQ CA5525 KYOCERA,DCMT 11T304 HQ CA5525 KYOCERA,DC1104090102,,,,,,,found_no_wear,exact_name
48,DCMT 11T304 HQ TN60 CERATYP,,,,,,,,,not_found_in_cuttingtools,
49,DCMT 11T304 SM IC907 ISCAR,DCMT 11T304 SM IC907 ISCAR,DC1104061118,,,,,,,found_no_wear,exact_name
50,DCMT 11T308 PF IC907 ISCAR,DCMT 11T308  PF IC907 ISCAR,DC1108060318,,,,,,,found_no_wear,exact_name
51,DCMT 11T308 HQ CA125P KYOCERA,DCMT 11T308 HQ CA125P KYOCERA ,DC1108090134,,,,,,,found_no_wear,exact_name
52,DCMT 11T308 HQ CA5525 KYOCERA,DCMT 11T308 HQ CA5525 KYOCERA,DC1108090102,,,,,,,found_no_wear,exact_name
53,DCMT 11T308 SL1 TC2125 TITANS,DCMT 11T308 SL1 TC2125 TITANS,DC1108610101,Mon Feb 23 2026 14:14:00 GMT+0300 (GMT+03:00),CT-26,Deniz Türk,148181,40810,,found_with_wear,exact_name
54,DNMG 110402 HQ CA5525 CERATYP,,,,,,,,,not_found_in_cuttingtools,
55,DNMG 110402 HQ TN620 KYOCERA,DNMG 110402 HQ TN620 KYOCERA,DN1102090131,,,,,,,found_no_wear,exact_name
56,DNMG 110404 GP TN60 CERATYP,,,,,,,,,not_found_in_cuttingtools,
57,DNMG 110404 HQ CA5525 KYOCERA,DNMG 110404 HQ CA5525 KYOCERA,DN1104090102,,,,,,,found_no_wear,exact_name
58,DNMG 110408 GS CA5525 KYOCERA,DNMG 110408 GS CA5525 KYOCERA,DN1108090302,,,,,,,found_no_wear,exact_name
59,DNMG 110408 M3M IC830 ISCAR,DNMG 110408 M3M IC830 ISCAR,DN1108062030,,,,,,,found_no_wear,exact_name
60,DNMG 110408 M3M IC6025 ISCAR BU IC830 DAN DAHA İYİ,,,,,,,,,not_found_in_cuttingtools,
61,DNMG 150604 MP NC3215 KORLOY,DNMG 150604 MP NC3215 KORLOY,DN1504341413,,,,,,,found_no_wear,exact_name
62,DNMG 150608 GT CA5525 CERATIP,DNMG 150608 GT CA5525 CERATIP,DN1508090202,,,,,,,found_no_wear,exact_name
63,DNMG 150608 R-ST CA5525 CERATYP,,,,,,,,,not_found_in_cuttingtools,
64,DGN 1402 IC908 ISCAR,DGN 1402 IC908 ISCAR,DGN1402060004,,,,,,,found_no_wear,exact_name
65,DGN 1402] IC354 ISCAR,,,,,,,,,not_found_in_cuttingtools,
66,DGN 2202 LF IC908 ISCAR,DGN 2202 LF IC908 ISCAR,DGN2202062904,,,,,,,found_no_wear,exact_name
67,DGR 2200 JS-15D IC908 ISCAR,DGR 2200 JS-15D IC908 ISCAR,DGR2200062404,,,,,,,found_no_wear,exact_name
68,GDM 1316N-003 PF PR1535 KYOCERA,GDM 1316N-003 PF PR1535 KYOCERA,GD1316092729,,,,,,,found_no_wear,exact_name
69,GDM 3020N-040 GM PR1225 KYOCERA,GDM 3020N-040 GM PR1225 KYOCERA,GDM3020090025,,,,,,,found_no_wear,exact_name
70,GDM2020-020 PMPR1535 KYOCERA,GDM2020-020 PMPR1535 KYOCERA,GD2020092729,,,,,,,found_no_wear,exact_name
71,GDM2020N -020 PM PR1225 CERATYP,,,,,,,,,not_found_in_cuttingtools,
72,GDM2420-020 PMPR1535 KYOCERA,GDM2420-020 PMPR1535 KYOCERA,GD2420092729,,,,,,,found_no_wear,exact_name
73,GDM2420N -020 PM PR1225 CERATYP,,,,,,,,,not_found_in_cuttingtools,
74,GDM2420N-020GM TN90 CERATYP,,,,,,,,,not_found_in_cuttingtools,
75,GDM3020-020 PMPR1535 KYOCERA,GDM3020-020 PMPR1535 KYOCERA,GD3020092729,,,,,,,found_no_wear,exact_name
76,GDMS 3020N-040 GM PR1535 KYOCERA,GDMS 3020N-040 GM PR1535 KYOCERA,GDMS3020092725,,,,,,,found_no_wear,exact_name
77,GMM 2020 TK PR930 KYOCERA,GMM 2020 TK PR930 KYOCERA ,GM2020092504,,,,,,,found_no_wear,exact_name
78,GMM 2020R-MT-15D KYOCERA,GMM 2020R-MT-15D KYOCERA,GM2020090404,,,,,,,found_no_wear,exact_name
79,PENTA 24 R303-172786 IC908,PENTA 24 R303-172786 IC908,PENTA24R303-17278604,,,,,,,found_no_wear,exact_name
80,PENTA 24N 050 J 000 IC908 ISCAR,PENTA 24N 050 J 000 IC908 ISCAR,PENTA24N0500604,,,,,,,found_no_wear,exact_name
81,PENTA 24N 100 J 0.5 IC908 ISCAR,PENTA 24N 100 J 0.5 IC908 ISCAR,PENTA24N1000604,,,,,,,found_no_wear,exact_name
82,PENTA 24N 120 J000 IC908 ISCAR,PENTA 24N 120 J000 IC908 ISCAR,PENTA24N120604,,,,,,,found_no_wear,exact_name
83,PENTA 24N 200 J1.0 IC908 ISCAR,PENTA 24N 200 J1.0 IC908 ISCAR,PENTA24N2000604,,,,,,,found_no_wear,exact_name
84,PENTA 24N 300 J150 IC908 ISCAR,PENTA 24N 300 J150 IC908 ISCAR,PENTA24N300604,,,,,,,found_no_wear,exact_name
85,PENTA 24R 100315D IC1008 ISCAR,,,,,,,,,not_found_in_cuttingtools,
86,PENTA 24R183-17276 IC908 ISCAR,PENTA 24R183-17276 IC908 ISCAR,PENTA24R183-17276604,,,,,,,found_no_wear,exact_name
87,SNMG 120408 MM5 WMP20S WALTER,,,,,,,,,not_found_in_cuttingtools,
88,SNMG 120408 TF IC907 ISCAR KALMADI WALTERE GEÇTİ,,,,,,,,,not_found_in_cuttingtools,
89,"TCMT 090204 HQ PV7025 KYOCERA TEDARİĞİNDE SIKINTI, HAVŞA TAKIMINA TAKMAK İÇİN BÜTÜN TCMT LER İÇİN",,,,,,,,,not_found_in_cuttingtools,
90,TNMG 160402 GP CA5525 KYOCERA,TNMG 160402 GP CA5525 KYOCERA,TN1602090602,,,,,,,found_no_wear,exact_name
91,TNMG 160404 HQ CA5525 CERATYP,,,,,,,,,not_found_in_cuttingtools,
92,TNMG 160404 TF IC907 ISCAR,TNMG 160404 TF IC907 ISCAR,TN1604060118,,,,,,,found_no_wear,exact_name
